Species,Method,Source,Year,Discards,kall
Blueline Tilefish,CAMS,State,2019,1862,322296448
Blueline Tilefish,CAMS,Federal,2019,6698,1712184481
Golden Tilefish,QM,Federal,2019,11902,62483399.78
Golden Tilefish,CAMS,State,2019,2692,322296448
Golden Tilefish,CAMS,Federal,2019,11969,1712184481
