"COMNAME","SPECIES_ITIS_EVAL","CCGOM","EGB","GB","GB_SNE","GBGOM","GBK","GOM","MA","NE","OTHER","SNE","SNEMA","WGB","WGB and South"
"FLOUNDER, YELLOWTAIL","172909",26813,NA,864,NA,NA,NA,NA,0,NA,NA,259,NA,NA,NA
"COD","164712",NA,1774,NA,NA,NA,NA,14731,21,NA,NA,100,NA,5967,NA
"HADDOCK","164744",NA,42618,NA,NA,NA,NA,159259,13,NA,NA,NA,NA,NA,290508
"FLOUNDER, WINTER / BLACKBACK","172905",NA,NA,335,NA,NA,NA,1499,NA,NA,NA,NA,1570,NA,NA
"OCEAN POUT","630979",NA,NA,NA,71518,NA,NA,12636,NA,NA,NA,NA,NA,NA,NA
"FLOUNDER, SAND-DAB / WINDOWPANE / B","172746",NA,NA,NA,NA,42731,NA,NA,NA,NA,NA,NA,34169,NA,NA
"FLOUNDER, WITCH / GRAY SOLE","172873",NA,NA,NA,NA,68502,NA,NA,NA,NA,477,NA,NA,NA,NA
"WOLFFISH / OCEAN CATFISH","171341",NA,NA,NA,NA,NA,374,42205,8,NA,NA,NA,NA,NA,NA
"FLOUNDER, AMERICAN PLAICE /DAB","172877",NA,NA,NA,NA,NA,31879,71639,13,NA,NA,79,NA,NA,NA
"POLLOCK","164727",NA,NA,NA,NA,NA,NA,NA,0,119073,NA,NA,NA,NA,NA
"HAKE, WHITE","164732",NA,NA,NA,NA,NA,NA,NA,13,30246,NA,NA,NA,NA,NA
"REDFISH / OCEAN PERCH","166774",NA,NA,NA,NA,NA,NA,NA,13,89056,NA,NA,NA,NA,NA
"HALIBUT, ATLANTIC","172933",NA,NA,NA,NA,NA,NA,NA,7,54104,NA,NA,NA,NA,NA
