Species,Method,Source,Year,Discards,kall
Blueline Tilefish,CAMS,State,2019,2655,334388859
Blueline Tilefish,CAMS,Federal,2019,7648,1373378471
Golden Tilefish,QM,Federal,2019,11902,62483399.78
Golden Tilefish,CAMS,State,2019,1807,314867740
Golden Tilefish,CAMS,Federal,2019,13465,1357898191
