ABC,SPECIES/GROUP,COMPOSITION,TAXON,SA species (Y/N),National Bycatch species
87,DECAPOD CRABS (ORDER: Decapoda),LADY CRAB,Ovalipes ocellatus,,Y
88,DECAPOD CRABS (ORDER: Decapoda),NORTHERN STONE CRAB,Lithodes maja,,Y
89,DECAPOD CRABS (ORDER: Decapoda),PORTLY SPIDER CRAB,Libinia emarginata,,Y
90,DECAPOD CRABS (ORDER: Decapoda),ROCK CRAB,Cancer irroratus,,Y
91,DECAPOD CRABS (ORDER: Decapoda),SNOW CRAB,Chionoecetes opilio,,Y
92,DECAPOD CRABS (ORDER: Decapoda),"SPECKELED CRAB, UNC",Arenaeus cribrarius,,Y
93,DECAPOD SHRIMPS (ORDER: Decapoda),ROYAL RED SHRIMP,Pleoticus robustus,,Y
94,DECAPOD SHRIMPS (ORDER: Decapoda),SCARLET SHRIMP,Aristaeopsis edwardsiana,,Y
95,DECAPOD SHRIMPS (ORDER: Decapoda),"SHRIMP, UNC",Caridea,,Y
96,"DEMERSAL SPECIES, OTHER","DOGFISH, UNC",Squalidae,,Y
97,"DEMERSAL SPECIES, OTHER","OCTOPUS, UNC",Octopodidae,,Y
98,"DEMERSAL SPECIES, OTHER","RAYS, UNC",Rajiformes,,Y
99,"DEMERSAL SPECIES, OTHER",TORPEDO RAY,Torpedo nobiliana,,Y
100,"DOLPHINFISH, UNC",Unclassified Dolphinfish Species,Coryphaena,,Y
101,"DORIES, OTHER (ORDER: Zeiformes)","BOARFISH, UNC",Caproidae ,,Y
102,"DORIES, OTHER (ORDER: Zeiformes)",BUCKER (JOHN) DORY,Zenopsis conchifera,,Y
103,"DORIES, OTHER (ORDER: Zeiformes)",DEEPBODY BOARFISH,Antigonia capros,,Y
104,"DORIES, OTHER (ORDER: Zeiformes)","DORY, UNC",Zeiformes,,Y
105,"DORIES, OTHER (ORDER: Zeiformes)",SHORTSPINE BOARFISH,Antigonia combatia,,Y
106,DUSKY SHARK,Individual,Carcharhinus obscurus,,Y
107,FINETOOTH SHARK,Individual,Carcharhinus isodon ,,Y
108,"FLATFISHES, OTHER (ORDER: Pleuronectiformes)","FLOUNDER, UNC",Pleuronectiformes,,Y
109,"FLATFISHES, OTHER (ORDER: Pleuronectiformes)",FOURSPOT FLOUNDER,Hippoglossina oblonga,,Y
110,"FLATFISHES, OTHER (ORDER: Pleuronectiformes)",GREENLAND HALIBUT,Reinhardtius hippoglossoides,,Y
111,"FLATFISHES, OTHER (ORDER: Pleuronectiformes)",GULFSTREAM FLOUNDER,Citharichthys arctifrons,,Y
112,"FLATFISHES, OTHER (ORDER: Pleuronectiformes)",HOGCHOCKER,Trinectes maculatus,,Y
113,"FLATFISHES, OTHER (ORDER: Pleuronectiformes)","LEFTEYE FLOUNDER, UNC",Bothidae ,,Y
114,"FLATFISHES, OTHER (ORDER: Pleuronectiformes)",SOUTHERN FLOUNDER,Paralichthys lethostigma,,Y
115,FLORIDA POMPANO,Individual,Trachinotus carolinus,,Y
117,"GADIFORMES, OTHER (ORDER: Gadiformes)",BLUE HAKE,Antimora rostrata,,Y
118,"GADIFORMES, OTHER (ORDER: Gadiformes)",COMMON GRENADIER,Nezumia bairdii,,Y
119,"GADIFORMES, OTHER (ORDER: Gadiformes)",FOURBEARD ROCKLING,Enchelyopus cimbrius,,Y
120,"GADIFORMES, OTHER (ORDER: Gadiformes)","GRENADIER, UNC",Macrouridae,,Y
121,"GADIFORMES, OTHER (ORDER: Gadiformes)","HAKE, UNC",Gadiformes,,Y
122,"GADIFORMES, OTHER (ORDER: Gadiformes)",LONGFIN HAKE,Phycis chesteri,,Y
125,"GADIFORMES, OTHER (ORDER: Gadiformes)",SOUTHERN HAKE,Urophycis floridana,,Y
126,"GADIFORMES, OTHER (ORDER: Gadiformes)",SPOTTED HAKE,Urophycis regia,,Y
127,"GASTROPOD SNAILS, OTHER (CLASS: Gastropoda)",COMMON PERIWINKLE,Littorinidae ,,Y
128,"GASTROPOD SNAILS, OTHER (CLASS: Gastropoda)",MOON SNAIL,Naticidae,,Y
129,"GASTROPOD SNAILS, OTHER (CLASS: Gastropoda)","SNAIL, UNC",Gastropoda,,Y
130,"GASTROPOD SNAILS, OTHER (CLASS: Gastropoda)","TRUE WHELK, UNC",Buccinidae,,Y
132,GREAT HAMMERHEAD SHARK,Individual,Sphyrna mokarran,,Y
133,GREENLAND SHARK,Individual,Somniosus microcephalus,,Y
134,"GROUPERS, UNC",Unclassified Groupers Species,Serranidae,,Y
136,"HAMMERHEAD SHARK, UNC",Unclassified Hammerhead Shark Species,Sphyrnidae,,Y
137,"HERRINGS, OTHER (ORDER: Clupeiformes)","ANCHOVY, UNC",Engraulidae,,Y
138,"HERRINGS, OTHER (ORDER: Clupeiformes)",BAY ANCHOVY,Anchoa mitchilli,,Y
139,"HERRINGS, OTHER (ORDER: Clupeiformes)",Y,Dorosoma cepedianum,,Y
140,"HERRINGS, OTHER (ORDER: Clupeiformes)","HERRING, UNC",Clupeidae,,Y
141,"HERRINGS, OTHER (ORDER: Clupeiformes)",ROUND HERRING,Etrumeus teres,,Y
142,"HERRINGS, OTHER (ORDER: Clupeiformes)",STRIPED ANCHOVY,Anchoa hepsetus,,Y
143,HICKORY SHAD,Individual,Alosa mediocris,,Y
144,HOGFISH,Individual,Lachnolaimus maximus,,Y
145,HORSESHOE CRAB,Individual,Limulus polyphemus,,Y
146,"JACK, UNC",Unclassified Jack Species,Carangidae,,Y
147,JONAH CRAB,Individual,Cancer borealis,Y,Y
148,KING MACKEREL,Individual,Scomberomorus cavalla,,Y
149,LITTLE TUNA (TUNNY),Individual,Euthynnus alletteratus,,Y
151,LOOKDOWN,Individual,Selene vomer,,Y
152,MACKEREL SCAD,Individual,Decapterus macarellus,,Y
153,"MACKERELS, OTHER (FAMILY: Scombridae)",BULLET MACKEREL,Auxis rochei,,Y
155,"MACKERELS, OTHER (FAMILY: Scombridae)",FRIGATE MACKEREL,Auxis thazard,,Y
