GEARCODE,CAMS_GEAR_GROUP
SEH,0
SES,0
STS,0
TGS,0
TRP,0
TTS,0
WEI,0
CST,0
DIP,0
DIV,0
DRC,0
DRM,0
DRO,0
DRS,0
DRU,0
DSC,0
DTC,0
DTS,0
FYK,0
GND,100
GNO,0
GNR,100
GNS,100
GNT,100
HND,0
HRP,0
LLB,0
LLP,0
MIX,0
OBP,0
OHS,0
OTB,0
OTC,0
OTF,50
OTH,0
OTM,0
OTO,0
OTR,0
OTS,0
OTT,0
PTB,0
PTC,0
PTE,0
PTF,0
PTH,0
PTL,200
PTM,0
PTO,180
PTS,0
PTW,0
PTX,0
PUR,0
RAK,0
SED,0
