"COMMON_NAME","SPECIES_ITIS","NESPP3","STAT_AREA","AREA_TYPE","AREA_NAME","listed"
"BUTTERFISH","172567","051",500,"stock","UNIT",1
"CLAM, SURF","080944","769",500,"stock","UNIT",1
"DOGFISH, SPINY","160617","352",500,"stock","UNIT",1
"FLUKE","172735","121",500,"stock","UNIT",1
"HAKE, WHITE","164732","153",500,"stock","UNIT",1
"HALIBUT","172933","159",500,"stock","UNIT",1
"HERRING, ATLANTIC","161722","168",500,"stock","UNIT",1
"MACKEREL, ATLANTIC","172414","212",500,"stock","UNIT",1
"QUAHOG, HARD SHELL CLAM","081496","748",500,"stock","UNIT",1
"QUAHOG, OCEAN (BLACK CLAM)","081343","754",500,"stock","UNIT",1
"RED CRAB","620992","710",500,"stock","UNIT",1
"SCALLOP, SEA","079718","800",500,"stock","UNIT",1
"SCUP","169182","329",500,"stock","UNIT",1
"SKATE, BARNDOOR","564139","368",500,"stock","UNIT",1
"SKATE, CLEARNOSE","160855","372",500,"stock","UNIT",1
"SKATE, LITTLE","564130","366",500,"stock","UNIT",1
"SKATE, ROSETTE","564136","364",500,"stock","UNIT",1
"SKATE, SMOOTH","564151","369",500,"stock","UNIT",1
"SKATE, THORNY","564149","370",500,"stock","UNIT",1
"SKATE, WINTER","564145","367",500,"stock","UNIT",1
"SQUID, ATL LONG-FIN","082372","801",500,"stock","UNIT",1
"SQUID, SHORT-FIN","082521","802",500,"stock","UNIT",1
"TILEFISH, BLUELINE","168543","444",500,"stock","NORTHERN COMPONENT",1
"TILEFISH, GOLDEN","168546","446",500,"stock","UNIT",1
"YELLOWTAIL FLD","172909","123",500,"stock","CCGOM",1
"ALEWIFE","161706","001",510,"stock","UNIT",1
"AM SHAD","161702","347",510,"stock","UNIT",1
"BLACK SEA BASS","167687","335",510,"stock","UNIT",1
"BLUEFISH","168559","023",510,"stock","UNIT",1
"BUTTERFISH","172567","051",510,"stock","UNIT",1
"CHUB MACKEREL","172413","215",510,"stock","UNIT",1
"CLAM, SURF","080944","769",510,"stock","UNIT",1
"COD","164712","081",510,"stock","GOM",1
"DOGFISH, SPINY","160617","352",510,"stock","UNIT",1
"FLUKE","172735","121",510,"stock","UNIT",1
"HADDOCK","164744","147",510,"stock","GOM",1
"HAKE, WHITE","164732","153",510,"stock","UNIT",1
"HALIBUT","172933","159",510,"stock","UNIT",1
"HERRING, ATLANTIC","161722","168",510,"stock","UNIT",1
"MACKEREL, ATLANTIC","172414","212",510,"stock","UNIT",1
"MONKFISH","164499","012",510,"stock","NORTHERN",1
"NBR spp (300+)",NA,NA,510,"stock","UNIT",1
"QUAHOG, HARD SHELL CLAM","081496","748",510,"stock","UNIT",1
"QUAHOG, OCEAN (BLACK CLAM)","081343","754",510,"stock","UNIT",1
"RED CRAB","620992","710",510,"stock","UNIT",1
"RED HAKE","164730","152",510,"stock","NORTHERN",1
"REDFISH","166774","240",510,"stock","UNIT",1
"SCALLOP, SEA","079718","800",510,"stock","UNIT",1
"SCUP","169182","329",510,"stock","UNIT",1
"SILVER HAKE","164791","509",510,"stock","NORTHERN",1
"SKATE, BARNDOOR","564139","368",510,"stock","UNIT",1
"SKATE, CLEARNOSE","160855","372",510,"stock","UNIT",1
"SKATE, LITTLE","564130","366",510,"stock","UNIT",1
"SKATE, ROSETTE","564136","364",510,"stock","UNIT",1
"SKATE, SMOOTH","564151","369",510,"stock","UNIT",1
"SKATE, THORNY","564149","370",510,"stock","UNIT",1
"SKATE, WINTER","564145","367",510,"stock","UNIT",1
"SQUID, ATL LONG-FIN","082372","801",510,"stock","UNIT",1
"SQUID, SHORT-FIN","082521","802",510,"stock","UNIT",1
"TILEFISH, BLUELINE","168543","444",510,"stock","NORTHERN COMPONENT",1
"TILEFISH, GOLDEN","168546","446",510,"stock","UNIT",1
"WINDOWPANE","172746","125",510,"stock","GBGOM",1
"WINTER FLD","172905","120",510,"stock","GOM",1
"WITCH FLD","172873","122",510,"stock","UNIT",1
"WOLFFISH","171341","512",510,"stock","UNIT",1
"YELLOWTAIL FLD","172909","123",510,"stock","CCGOM",1
"ALEWIFE","161706","001",511,"stock","UNIT",1
"AM SHAD","161702","347",511,"stock","UNIT",1
"AMERICAN PLAICE","172877","124",511,"stock","UNIT",1
"BLACK SEA BASS","167687","335",511,"stock","UNIT",1
"BLUEFISH","168559","023",511,"stock","UNIT",1
"BUTTERFISH","172567","051",511,"stock","UNIT",1
"CHUB MACKEREL","172413","215",511,"stock","UNIT",1
"CLAM, SURF","080944","769",511,"stock","UNIT",1
"COD","164712","081",511,"stock","GOM",1
"DOGFISH, SPINY","160617","352",511,"stock","UNIT",1
"FLUKE","172735","121",511,"stock","UNIT",1
"HADDOCK","164744","147",511,"stock","GOM",1
"HAKE, WHITE","164732","153",511,"stock","UNIT",1
"HALIBUT","172933","159",511,"stock","UNIT",1
"HERRING, ATLANTIC","161722","168",511,"stock","UNIT",1
"MACKEREL, ATLANTIC","172414","212",511,"stock","UNIT",1
