"COMMON_NAME","SPECIES_ITIS","NESPP3","STAT_AREA","AREA_TYPE","AREA_NAME","listed"
"RED CRAB","620992","710",530,"NEFSC_discards","UNIT",1
"RED HAKE","164730","152",530,"NEFSC_discards","SOUTH",1
"REDFISH","166774","240",530,"NEFSC_discards","NE",1
"SCUP","169182","329",530,"NEFSC_discards","by stat area",1
"SILVER HAKE","164791","509",530,"NEFSC_discards","SOUTH",1
"SKATE, BARNDOOR","564139","368",530,"NEFSC_discards","SNE",1
"SKATE, CLEARNOSE","160855","372",530,"NEFSC_discards","SNE",1
"SKATE, LITTLE","564130","366",530,"NEFSC_discards","SNE",1
"SKATE, ROSETTE","564136","364",530,"NEFSC_discards","SNE",1
"SKATE, SMOOTH","564151","369",530,"NEFSC_discards","SNE",1
"SKATE, THORNY","564149","370",530,"NEFSC_discards","SNE",1
"SKATE, WINTER","564145","367",530,"NEFSC_discards","SNE",1
"SQUID, ATL LONG-FIN","082372","801",530,"NEFSC_discards","ALL",1
"SQUID, SHORT-FIN","082521","802",530,"NEFSC_discards","ALL",1
"WINTER FLD","172905","120",530,"NEFSC_discards","SNEMA",1
"WITCH FLD","172873","122",530,"NEFSC_discards","OTHER",1
"WOLFFISH","171341","512",530,"NEFSC_discards","GBK",1
"YELLOWTAIL FLD","172909","123",530,"NEFSC_discards","SNE",1
"SKATE, BARNDOOR","564139","368",531,"NEFSC_discards","SNE",1
"SKATE, CLEARNOSE","160855","372",531,"NEFSC_discards","SNE",1
"SKATE, LITTLE","564130","366",531,"NEFSC_discards","SNE",1
"SKATE, ROSETTE","564136","364",531,"NEFSC_discards","SNE",1
"SKATE, SMOOTH","564151","369",531,"NEFSC_discards","SNE",1
"SKATE, THORNY","564149","370",531,"NEFSC_discards","SNE",1
"SKATE, WINTER","564145","367",531,"NEFSC_discards","SNE",1
"YELLOWTAIL FLD","172909","123",531,"NEFSC_discards","SNE",1
"SKATE, BARNDOOR","564139","368",532,"NEFSC_discards","SNE",1
"SKATE, CLEARNOSE","160855","372",532,"NEFSC_discards","SNE",1
"SKATE, LITTLE","564130","366",532,"NEFSC_discards","SNE",1
"SKATE, ROSETTE","564136","364",532,"NEFSC_discards","SNE",1
"SKATE, SMOOTH","564151","369",532,"NEFSC_discards","SNE",1
"SKATE, THORNY","564149","370",532,"NEFSC_discards","SNE",1
"SKATE, WINTER","564145","367",532,"NEFSC_discards","SNE",1
"ALEWIFE","161706","001",533,"NEFSC_discards","ALL",1
"AM SHAD","161702","347",533,"NEFSC_discards","ALL",1
"BLACK SEA BASS","167687","335",533,"NEFSC_discards","NORTH",1
"BUTTERFISH","172567","051",533,"NEFSC_discards","NE",1
"CHUB MACKEREL","172413","215",533,"NEFSC_discards","NE",1
"CLAM, SURF","080944","769",533,"NEFSC_discards","Northern",1
"DOGFISH, SPINY","160617","352",533,"NEFSC_discards","NE",1
"FLUKE","172735","121",533,"NEFSC_discards","NE",1
"HADDOCK","164744","147",533,"NEFSC_discards","WGB and South",1
"HAKE, WHITE","164732","153",533,"NEFSC_discards","NE",1
"HALIBUT","172933","159",533,"NEFSC_discards","NE",1
"HERRING, ATLANTIC","161722","168",533,"NEFSC_discards","ALL",1
"MACKEREL, ATLANTIC","172414","212",533,"NEFSC_discards","NE",1
"MONKFISH","164499","012",533,"NEFSC_discards","SOUTH",1
"NBR spp (300+)",NA,NA,533,"NEFSC_discards","NE",1
"OFFSHORE HAKE","164793","508",533,"NEFSC_discards","SOUTHERN",1
"QUAHOG, HARD SHELL CLAM","081496","748",533,"NEFSC_discards","Northern",1
"QUAHOG, OCEAN (BLACK CLAM)","081343","754",533,"NEFSC_discards","Northern",1
"RED CRAB","620992","710",533,"NEFSC_discards","UNIT",1
"RED HAKE","164730","152",533,"NEFSC_discards","SOUTH",1
"REDFISH","166774","240",533,"NEFSC_discards","NE",1
"SCUP","169182","329",533,"NEFSC_discards","by stat area",1
"SILVER HAKE","164791","509",533,"NEFSC_discards","SOUTH",1
"SKATE, BARNDOOR","564139","368",533,"NEFSC_discards","SNE",1
"SKATE, CLEARNOSE","160855","372",533,"NEFSC_discards","SNE",1
"SKATE, LITTLE","564130","366",533,"NEFSC_discards","SNE",1
"SKATE, ROSETTE","564136","364",533,"NEFSC_discards","SNE",1
"SKATE, SMOOTH","564151","369",533,"NEFSC_discards","SNE",1
"SKATE, THORNY","564149","370",533,"NEFSC_discards","SNE",1
"SKATE, WINTER","564145","367",533,"NEFSC_discards","SNE",1
"SQUID, ATL LONG-FIN","082372","801",533,"NEFSC_discards","ALL",1
"SQUID, SHORT-FIN","082521","802",533,"NEFSC_discards","ALL",1
"WINDOWPANE","172746","125",533,"NEFSC_discards","SNEMA",1
"WINTER FLD","172905","120",533,"NEFSC_discards","SNEMA",1
"WITCH FLD","172873","122",533,"NEFSC_discards","OTHER",1
"WOLFFISH","171341","512",533,"NEFSC_discards","GBK",1
"YELLOWTAIL FLD","172909","123",533,"NEFSC_discards","SNE",1
"ALEWIFE","161706","001",534,"NEFSC_discards","ALL",1
"AM SHAD","161702","347",534,"NEFSC_discards","ALL",1
"BLACK SEA BASS","167687","335",534,"NEFSC_discards","NORTH",1
"BUTTERFISH","172567","051",534,"NEFSC_discards","NE",1
"CHUB MACKEREL","172413","215",534,"NEFSC_discards","NE",1
"CLAM, SURF","080944","769",534,"NEFSC_discards","Northern",1
"DOGFISH, SPINY","160617","352",534,"NEFSC_discards","NE",1
"FLUKE","172735","121",534,"NEFSC_discards","NE",1
"HADDOCK","164744","147",534,"NEFSC_discards","WGB and South",1
"HAKE, WHITE","164732","153",534,"NEFSC_discards","NE",1
"HALIBUT","172933","159",534,"NEFSC_discards","NE",1
"HERRING, ATLANTIC","161722","168",534,"NEFSC_discards","ALL",1
"MACKEREL, ATLANTIC","172414","212",534,"NEFSC_discards","NE",1
"MONKFISH","164499","012",534,"NEFSC_discards","SOUTH",1
"NBR spp (300+)",NA,NA,534,"NEFSC_discards","NE",1
"OFFSHORE HAKE","164793","508",534,"NEFSC_discards","SOUTHERN",1
"QUAHOG, HARD SHELL CLAM","081496","748",534,"NEFSC_discards","Northern",1
"QUAHOG, OCEAN (BLACK CLAM)","081343","754",534,"NEFSC_discards","Northern",1
"RED CRAB","620992","710",534,"NEFSC_discards","UNIT",1
"RED HAKE","164730","152",534,"NEFSC_discards","SOUTH",1
"REDFISH","166774","240",534,"NEFSC_discards","NE",1
"SCUP","169182","329",534,"NEFSC_discards","by stat area",1
"SILVER HAKE","164791","509",534,"NEFSC_discards","SOUTH",1
"SKATE, BARNDOOR","564139","368",534,"NEFSC_discards","SNE",1
"SKATE, CLEARNOSE","160855","372",534,"NEFSC_discards","SNE",1
"SKATE, LITTLE","564130","366",534,"NEFSC_discards","SNE",1
"SKATE, ROSETTE","564136","364",534,"NEFSC_discards","SNE",1
"SKATE, SMOOTH","564151","369",534,"NEFSC_discards","SNE",1
"SKATE, THORNY","564149","370",534,"NEFSC_discards","SNE",1
"SKATE, WINTER","564145","367",534,"NEFSC_discards","SNE",1
"SQUID, ATL LONG-FIN","082372","801",534,"NEFSC_discards","ALL",1
"SQUID, SHORT-FIN","082521","802",534,"NEFSC_discards","ALL",1
"WINDOWPANE","172746","125",534,"NEFSC_discards","SNEMA",1
"WINTER FLD","172905","120",534,"NEFSC_discards","SNEMA",1
"WITCH FLD","172873","122",534,"NEFSC_discards","OTHER",1
"WOLFFISH","171341","512",534,"NEFSC_discards","GBK",1
"YELLOWTAIL FLD","172909","123",534,"NEFSC_discards","SNE",1
"ALEWIFE","161706","001",537,"NEFSC_discards","ALL",1
"AM SHAD","161702","347",537,"NEFSC_discards","ALL",1
"AMERICAN PLAICE","172877","124",537,"NEFSC_discards","SNE",1
"BLACK SEA BASS","167687","335",537,"NEFSC_discards","NORTH",1
"BUTTERFISH","172567","051",537,"NEFSC_discards","NE",1
"CHUB MACKEREL","172413","215",537,"NEFSC_discards","NE",1
"CLAM, SURF","080944","769",537,"NEFSC_discards","Northern",1
"COD","164712","081",537,"NEFSC_discards","SNE",1
"DOGFISH, SPINY","160617","352",537,"NEFSC_discards","NE",1
"FLUKE","172735","121",537,"NEFSC_discards","NE",1
"HADDOCK","164744","147",537,"NEFSC_discards","WGB and South",1
"HAKE, WHITE","164732","153",537,"NEFSC_discards","NE",1
"HALIBUT","172933","159",537,"NEFSC_discards","NE",1
"HERRING, ATLANTIC","161722","168",537,"NEFSC_discards","ALL",1
"MACKEREL, ATLANTIC","172414","212",537,"NEFSC_discards","NE",1
"MONKFISH","164499","012",537,"NEFSC_discards","SOUTH",1
"NBR spp (300+)",NA,NA,537,"NEFSC_discards","NE",1
"OCEAN POUT","630979","250",537,"NEFSC_discards","UNIT",1
"OFFSHORE HAKE","164793","508",537,"NEFSC_discards","SOUTHERN",1
"POLLOCK","164727","269",537,"NEFSC_discards","UNIT",1
"QUAHOG, HARD SHELL CLAM","081496","748",537,"NEFSC_discards","Northern",1
"QUAHOG, OCEAN (BLACK CLAM)","081343","754",537,"NEFSC_discards","Northern",1
"RED CRAB","620992","710",537,"NEFSC_discards","UNIT",1
"RED HAKE","164730","152",537,"NEFSC_discards","SOUTH",1
"REDFISH","166774","240",537,"NEFSC_discards","NE",1
"SCUP","169182","329",537,"NEFSC_discards","by stat area",1
"SILVER HAKE","164791","509",537,"NEFSC_discards","SOUTH",1
"SKATE, BARNDOOR","564139","368",537,"NEFSC_discards","SNE",1
"SKATE, CLEARNOSE","160855","372",537,"NEFSC_discards","SNE",1
"SKATE, LITTLE","564130","366",537,"NEFSC_discards","SNE",1
"SKATE, ROSETTE","564136","364",537,"NEFSC_discards","SNE",1
"SKATE, SMOOTH","564151","369",537,"NEFSC_discards","SNE",1
"SKATE, THORNY","564149","370",537,"NEFSC_discards","SNE",1
"SKATE, WINTER","564145","367",537,"NEFSC_discards","SNE",1
"SQUID, ATL LONG-FIN","082372","801",537,"NEFSC_discards","ALL",1
"SQUID, SHORT-FIN","082521","802",537,"NEFSC_discards","ALL",1
"WINDOWPANE","172746","125",537,"NEFSC_discards","SNEMA",1
"WINTER FLD","172905","120",537,"NEFSC_discards","SNEMA",1
"WITCH FLD","172873","122",537,"NEFSC_discards","OTHER",1
"WOLFFISH","171341","512",537,"NEFSC_discards","GBK",1
"YELLOWTAIL FLD","172909","123",537,"NEFSC_discards","SNE",1
"ALEWIFE","161706","001",538,"NEFSC_discards","ALL",1
"AM SHAD","161702","347",538,"NEFSC_discards","ALL",1
"AMERICAN PLAICE","172877","124",538,"NEFSC_discards","SNE",1
"BLACK SEA BASS","167687","335",538,"NEFSC_discards","NORTH",1
"BUTTERFISH","172567","051",538,"NEFSC_discards","NE",1
"CHUB MACKEREL","172413","215",538,"NEFSC_discards","NE",1
"CLAM, SURF","080944","769",538,"NEFSC_discards","Northern",1
"COD","164712","081",538,"NEFSC_discards","SNE",1
"DOGFISH, SPINY","160617","352",538,"NEFSC_discards","NE",1
"FLUKE","172735","121",538,"NEFSC_discards","NE",1
"HADDOCK","164744","147",538,"NEFSC_discards","WGB and South",1
"HAKE, WHITE","164732","153",538,"NEFSC_discards","NE",1
"HALIBUT","172933","159",538,"NEFSC_discards","NE",1
"HERRING, ATLANTIC","161722","168",538,"NEFSC_discards","ALL",1
"MACKEREL, ATLANTIC","172414","212",538,"NEFSC_discards","NE",1
"MONKFISH","164499","012",538,"NEFSC_discards","SOUTH",1
"NBR spp (300+)",NA,NA,538,"NEFSC_discards","NE",1
"OCEAN POUT","630979","250",538,"NEFSC_discards","UNIT",1
"OFFSHORE HAKE","164793","508",538,"NEFSC_discards","SOUTHERN",1
"POLLOCK","164727","269",538,"NEFSC_discards","UNIT",1
"QUAHOG, HARD SHELL CLAM","081496","748",538,"NEFSC_discards","Northern",1
"QUAHOG, OCEAN (BLACK CLAM)","081343","754",538,"NEFSC_discards","Northern",1
"RED CRAB","620992","710",538,"NEFSC_discards","UNIT",1
"RED HAKE","164730","152",538,"NEFSC_discards","SOUTH",1
"REDFISH","166774","240",538,"NEFSC_discards","NE",1
"SCUP","169182","329",538,"NEFSC_discards","by stat area",1
"SILVER HAKE","164791","509",538,"NEFSC_discards","SOUTH",1
"SKATE, BARNDOOR","564139","368",538,"NEFSC_discards","SNE",1
"SKATE, CLEARNOSE","160855","372",538,"NEFSC_discards","SNE",1
"SKATE, LITTLE","564130","366",538,"NEFSC_discards","SNE",1
"SKATE, ROSETTE","564136","364",538,"NEFSC_discards","SNE",1
"SKATE, SMOOTH","564151","369",538,"NEFSC_discards","SNE",1
"SKATE, THORNY","564149","370",538,"NEFSC_discards","SNE",1
"SKATE, WINTER","564145","367",538,"NEFSC_discards","SNE",1
"SQUID, ATL LONG-FIN","082372","801",538,"NEFSC_discards","ALL",1
"SQUID, SHORT-FIN","082521","802",538,"NEFSC_discards","ALL",1
"WINDOWPANE","172746","125",538,"NEFSC_discards","SNEMA",1
"WINTER FLD","172905","120",538,"NEFSC_discards","SNEMA",1
"WITCH FLD","172873","122",538,"NEFSC_discards","OTHER",1
"WOLFFISH","171341","512",538,"NEFSC_discards","GBK",1
"YELLOWTAIL FLD","172909","123",538,"NEFSC_discards","SNE",1
"ALEWIFE","161706","001",539,"NEFSC_discards","ALL",1
"AM SHAD","161702","347",539,"NEFSC_discards","ALL",1
"AMERICAN PLAICE","172877","124",539,"NEFSC_discards","SNE",1
"BLACK SEA BASS","167687","335",539,"NEFSC_discards","NORTH",1
"BUTTERFISH","172567","051",539,"NEFSC_discards","NE",1
"CHUB MACKEREL","172413","215",539,"NEFSC_discards","NE",1
"CLAM, SURF","080944","769",539,"NEFSC_discards","Northern",1
"COD","164712","081",539,"NEFSC_discards","SNE",1
"DOGFISH, SPINY","160617","352",539,"NEFSC_discards","NE",1
"FLUKE","172735","121",539,"NEFSC_discards","NE",1
"HADDOCK","164744","147",539,"NEFSC_discards","WGB and South",1
"HAKE, WHITE","164732","153",539,"NEFSC_discards","NE",1
"HALIBUT","172933","159",539,"NEFSC_discards","NE",1
"HERRING, ATLANTIC","161722","168",539,"NEFSC_discards","ALL",1
"MACKEREL, ATLANTIC","172414","212",539,"NEFSC_discards","NE",1
"MONKFISH","164499","012",539,"NEFSC_discards","SOUTH",1
"NBR spp (300+)",NA,NA,539,"NEFSC_discards","NE",1
"OCEAN POUT","630979","250",539,"NEFSC_discards","UNIT",1
"OFFSHORE HAKE","164793","508",539,"NEFSC_discards","SOUTHERN",1
"POLLOCK","164727","269",539,"NEFSC_discards","UNIT",1
"QUAHOG, HARD SHELL CLAM","081496","748",539,"NEFSC_discards","Northern",1
"QUAHOG, OCEAN (BLACK CLAM)","081343","754",539,"NEFSC_discards","Northern",1
"RED CRAB","620992","710",539,"NEFSC_discards","UNIT",1
"RED HAKE","164730","152",539,"NEFSC_discards","SOUTH",1
"REDFISH","166774","240",539,"NEFSC_discards","NE",1
"SCUP","169182","329",539,"NEFSC_discards","by stat area",1
"SILVER HAKE","164791","509",539,"NEFSC_discards","SOUTH",1
"SKATE, BARNDOOR","564139","368",539,"NEFSC_discards","SNE",1
"SKATE, CLEARNOSE","160855","372",539,"NEFSC_discards","SNE",1
"SKATE, LITTLE","564130","366",539,"NEFSC_discards","SNE",1
"SKATE, ROSETTE","564136","364",539,"NEFSC_discards","SNE",1
"SKATE, SMOOTH","564151","369",539,"NEFSC_discards","SNE",1
"SKATE, THORNY","564149","370",539,"NEFSC_discards","SNE",1
"SKATE, WINTER","564145","367",539,"NEFSC_discards","SNE",1
"SQUID, ATL LONG-FIN","082372","801",539,"NEFSC_discards","ALL",1
"SQUID, SHORT-FIN","082521","802",539,"NEFSC_discards","ALL",1
"WINDOWPANE","172746","125",539,"NEFSC_discards","SNEMA",1
"WINTER FLD","172905","120",539,"NEFSC_discards","SNEMA",1
"WITCH FLD","172873","122",539,"NEFSC_discards","OTHER",1
"WOLFFISH","171341","512",539,"NEFSC_discards","GBK",1
"YELLOWTAIL FLD","172909","123",539,"NEFSC_discards","SNE",1
"HALIBUT","172933","159",540,"NEFSC_discards","NE",1
"OFFSHORE HAKE","164793","508",540,"NEFSC_discards","SOUTHERN",1
"RED HAKE","164730","152",540,"NEFSC_discards","SOUTH",1
"SCUP","169182","329",540,"NEFSC_discards","by stat area",1
"SILVER HAKE","164791","509",540,"NEFSC_discards","SOUTH",1
"SKATE, BARNDOOR","564139","368",540,"NEFSC_discards","SNE",1
"SKATE, CLEARNOSE","160855","372",540,"NEFSC_discards","SNE",1
"SKATE, LITTLE","564130","366",540,"NEFSC_discards","SNE",1
"SKATE, ROSETTE","564136","364",540,"NEFSC_discards","SNE",1
"SKATE, SMOOTH","564151","369",540,"NEFSC_discards","SNE",1
"SKATE, THORNY","564149","370",540,"NEFSC_discards","SNE",1
"SKATE, WINTER","564145","367",540,"NEFSC_discards","SNE",1
"SQUID, ATL LONG-FIN","082372","801",540,"NEFSC_discards","ALL",1
"SQUID, SHORT-FIN","082521","802",540,"NEFSC_discards","ALL",1
"ALEWIFE","161706","001",541,"NEFSC_discards","ALL",1
"AM SHAD","161702","347",541,"NEFSC_discards","ALL",1
"BLACK SEA BASS","167687","335",541,"NEFSC_discards","NORTH",1
"BUTTERFISH","172567","051",541,"NEFSC_discards","NE",1
"CHUB MACKEREL","172413","215",541,"NEFSC_discards","NE",1
"CLAM, SURF","080944","769",541,"NEFSC_discards","Northern",1
"DOGFISH, SPINY","160617","352",541,"NEFSC_discards","NE",1
"FLUKE","172735","121",541,"NEFSC_discards","NE",1
"HADDOCK","164744","147",541,"NEFSC_discards","WGB and South",1
"HAKE, WHITE","164732","153",541,"NEFSC_discards","NE",1
"HALIBUT","172933","159",541,"NEFSC_discards","NE",1
"HERRING, ATLANTIC","161722","168",541,"NEFSC_discards","ALL",1
"MACKEREL, ATLANTIC","172414","212",541,"NEFSC_discards","NE",1
"MONKFISH","164499","012",541,"NEFSC_discards","SOUTH",1
"NBR spp (300+)",NA,NA,541,"NEFSC_discards","NE",1
"OFFSHORE HAKE","164793","508",541,"NEFSC_discards","SOUTHERN",1
"QUAHOG, HARD SHELL CLAM","081496","748",541,"NEFSC_discards","Northern",1
"QUAHOG, OCEAN (BLACK CLAM)","081343","754",541,"NEFSC_discards","Northern",1
"RED CRAB","620992","710",541,"NEFSC_discards","UNIT",1
"RED HAKE","164730","152",541,"NEFSC_discards","SOUTH",1
"REDFISH","166774","240",541,"NEFSC_discards","NE",1
"SCALLOP, SEA","079718","800",541,"NEFSC_discards","GB",1
"SCUP","169182","329",541,"NEFSC_discards","by stat area",1
"SILVER HAKE","164791","509",541,"NEFSC_discards","SOUTH",1
"SKATE, BARNDOOR","564139","368",541,"NEFSC_discards","SNE",1
"SKATE, CLEARNOSE","160855","372",541,"NEFSC_discards","SNE",1
"SKATE, LITTLE","564130","366",541,"NEFSC_discards","SNE",1
"SKATE, ROSETTE","564136","364",541,"NEFSC_discards","SNE",1
"SKATE, SMOOTH","564151","369",541,"NEFSC_discards","SNE",1
"SKATE, THORNY","564149","370",541,"NEFSC_discards","SNE",1
"SKATE, WINTER","564145","367",541,"NEFSC_discards","SNE",1
"SQUID, ATL LONG-FIN","082372","801",541,"NEFSC_discards","ALL",1
"SQUID, SHORT-FIN","082521","802",541,"NEFSC_discards","ALL",1
"WINDOWPANE","172746","125",541,"NEFSC_discards","SNEMA",1
"WITCH FLD","172873","122",541,"NEFSC_discards","OTHER",1
"WOLFFISH","171341","512",541,"NEFSC_discards","GBK",1
"YELLOWTAIL FLD","172909","123",541,"NEFSC_discards","GB",1
"ALEWIFE","161706","001",542,"NEFSC_discards","ALL",1
"AM SHAD","161702","347",542,"NEFSC_discards","ALL",1
"BLACK SEA BASS","167687","335",542,"NEFSC_discards","NORTH",1
"BUTTERFISH","172567","051",542,"NEFSC_discards","NE",1
"CHUB MACKEREL","172413","215",542,"NEFSC_discards","NE",1
"CLAM, SURF","080944","769",542,"NEFSC_discards","Northern",1
"DOGFISH, SPINY","160617","352",542,"NEFSC_discards","NE",1
"FLUKE","172735","121",542,"NEFSC_discards","NE",1
"HADDOCK","164744","147",542,"NEFSC_discards","WGB and South",1
"HAKE, WHITE","164732","153",542,"NEFSC_discards","NE",1
"HALIBUT","172933","159",542,"NEFSC_discards","NE",1
"HERRING, ATLANTIC","161722","168",542,"NEFSC_discards","ALL",1
"MACKEREL, ATLANTIC","172414","212",542,"NEFSC_discards","NE",1
"MONKFISH","164499","012",542,"NEFSC_discards","SOUTH",1
"NBR spp (300+)",NA,NA,542,"NEFSC_discards","NE",1
"OFFSHORE HAKE","164793","508",542,"NEFSC_discards","SOUTHERN",1
"QUAHOG, HARD SHELL CLAM","081496","748",542,"NEFSC_discards","Northern",1
"QUAHOG, OCEAN (BLACK CLAM)","081343","754",542,"NEFSC_discards","Northern",1
"RED CRAB","620992","710",542,"NEFSC_discards","UNIT",1
"RED HAKE","164730","152",542,"NEFSC_discards","SOUTH",1
"REDFISH","166774","240",542,"NEFSC_discards","NE",1
"SCALLOP, SEA","079718","800",542,"NEFSC_discards","GB",1
"SCUP","169182","329",542,"NEFSC_discards","by stat area",1
"SILVER HAKE","164791","509",542,"NEFSC_discards","SOUTH",1
"SKATE, BARNDOOR","564139","368",542,"NEFSC_discards","SNE",1
"SKATE, CLEARNOSE","160855","372",542,"NEFSC_discards","SNE",1
"SKATE, LITTLE","564130","366",542,"NEFSC_discards","SNE",1
"SKATE, ROSETTE","564136","364",542,"NEFSC_discards","SNE",1
"SKATE, SMOOTH","564151","369",542,"NEFSC_discards","SNE",1
"SKATE, THORNY","564149","370",542,"NEFSC_discards","SNE",1
"SKATE, WINTER","564145","367",542,"NEFSC_discards","SNE",1
"SQUID, ATL LONG-FIN","082372","801",542,"NEFSC_discards","ALL",1
"SQUID, SHORT-FIN","082521","802",542,"NEFSC_discards","ALL",1
"WINDOWPANE","172746","125",542,"NEFSC_discards","GBGOM",1
"WITCH FLD","172873","122",542,"NEFSC_discards","OTHER",1
"WOLFFISH","171341","512",542,"NEFSC_discards","GBK",1
"YELLOWTAIL FLD","172909","123",542,"NEFSC_discards","GB",1
"ALEWIFE","161706","001",543,"NEFSC_discards","ALL",1
"AM SHAD","161702","347",543,"NEFSC_discards","ALL",1
"BLACK SEA BASS","167687","335",543,"NEFSC_discards","NORTH",1
"BUTTERFISH","172567","051",543,"NEFSC_discards","NE",1
"CHUB MACKEREL","172413","215",543,"NEFSC_discards","NE",1
"CLAM, SURF","080944","769",543,"NEFSC_discards","Northern",1
"DOGFISH, SPINY","160617","352",543,"NEFSC_discards","NE",1
"FLUKE","172735","121",543,"NEFSC_discards","NE",1
"HADDOCK","164744","147",543,"NEFSC_discards","WGB and South",1
"HAKE, WHITE","164732","153",543,"NEFSC_discards","NE",1
"HALIBUT","172933","159",543,"NEFSC_discards","NE",1
"HERRING, ATLANTIC","161722","168",543,"NEFSC_discards","ALL",1
"MACKEREL, ATLANTIC","172414","212",543,"NEFSC_discards","NE",1
"MONKFISH","164499","012",543,"NEFSC_discards","SOUTH",1
"NBR spp (300+)",NA,NA,543,"NEFSC_discards","NE",1
"OFFSHORE HAKE","164793","508",543,"NEFSC_discards","SOUTHERN",1
"QUAHOG, HARD SHELL CLAM","081496","748",543,"NEFSC_discards","Northern",1
"QUAHOG, OCEAN (BLACK CLAM)","081343","754",543,"NEFSC_discards","Northern",1
"RED CRAB","620992","710",543,"NEFSC_discards","UNIT",1
"RED HAKE","164730","152",543,"NEFSC_discards","SOUTH",1
"REDFISH","166774","240",543,"NEFSC_discards","NE",1
"SCALLOP, SEA","079718","800",543,"NEFSC_discards","GB",1
"SCUP","169182","329",543,"NEFSC_discards","by stat area",1
"SILVER HAKE","164791","509",543,"NEFSC_discards","SOUTH",1
"SKATE, BARNDOOR","564139","368",543,"NEFSC_discards","SNE",1
"SKATE, CLEARNOSE","160855","372",543,"NEFSC_discards","SNE",1
"SKATE, LITTLE","564130","366",543,"NEFSC_discards","SNE",1
"SKATE, ROSETTE","564136","364",543,"NEFSC_discards","SNE",1
"SKATE, SMOOTH","564151","369",543,"NEFSC_discards","SNE",1
"SKATE, THORNY","564149","370",543,"NEFSC_discards","SNE",1
"SKATE, WINTER","564145","367",543,"NEFSC_discards","SNE",1
"SQUID, ATL LONG-FIN","082372","801",543,"NEFSC_discards","ALL",1
"SQUID, SHORT-FIN","082521","802",543,"NEFSC_discards","ALL",1
"WINDOWPANE","172746","125",543,"NEFSC_discards","GBGOM",1
"WITCH FLD","172873","122",543,"NEFSC_discards","OTHER",1
"WOLFFISH","171341","512",543,"NEFSC_discards","GBK",1
"YELLOWTAIL FLD","172909","123",543,"NEFSC_discards","GB",1
"SCUP","169182","329",550,"NEFSC_discards","by stat area",1
"YELLOWTAIL FLD","172909","123",550,"NEFSC_discards","GB",1
"ALEWIFE","161706","001",551,"NEFSC_discards","ALL",1
"AM SHAD","161702","347",551,"NEFSC_discards","ALL",1
"BLACK SEA BASS","167687","335",551,"NEFSC_discards","NORTH",1
"BUTTERFISH","172567","051",551,"NEFSC_discards","NE",1
"CHUB MACKEREL","172413","215",551,"NEFSC_discards","NE",1
"CLAM, SURF","080944","769",551,"NEFSC_discards","Northern",1
"DOGFISH, SPINY","160617","352",551,"NEFSC_discards","NE",1
"FLUKE","172735","121",551,"NEFSC_discards","NE",1
"HADDOCK","164744","147",551,"NEFSC_discards","EGB",1
"HAKE, WHITE","164732","153",551,"NEFSC_discards","NE",1
"HERRING, ATLANTIC","161722","168",551,"NEFSC_discards","ALL",1
"MACKEREL, ATLANTIC","172414","212",551,"NEFSC_discards","NE",1
"NBR spp (300+)",NA,NA,551,"NEFSC_discards","NE",1
"POLLOCK","164727","269",551,"NEFSC_discards","UNIT",1
"QUAHOG, HARD SHELL CLAM","081496","748",551,"NEFSC_discards","Northern",1
"QUAHOG, OCEAN (BLACK CLAM)","081343","754",551,"NEFSC_discards","Northern",1
"RED CRAB","620992","710",551,"NEFSC_discards","UNIT",1
"REDFISH","166774","240",551,"NEFSC_discards","NE",1
"SCALLOP, SEA","079718","800",551,"NEFSC_discards","GB",1
"SCUP","169182","329",551,"NEFSC_discards","by stat area",1
"WINDOWPANE","172746","125",551,"NEFSC_discards","GBGOM",1
"WINTER FLD","172905","120",551,"NEFSC_discards","GB",1
"YELLOWTAIL FLD","172909","123",551,"NEFSC_discards","GB",1
"ALEWIFE","161706","001",552,"NEFSC_discards","ALL",1
"AM SHAD","161702","347",552,"NEFSC_discards","ALL",1
"BLACK SEA BASS","167687","335",552,"NEFSC_discards","NORTH",1
"BUTTERFISH","172567","051",552,"NEFSC_discards","NE",1
"CHUB MACKEREL","172413","215",552,"NEFSC_discards","NE",1
"CLAM, SURF","080944","769",552,"NEFSC_discards","Northern",1
"DOGFISH, SPINY","160617","352",552,"NEFSC_discards","NE",1
"FLUKE","172735","121",552,"NEFSC_discards","NE",1
"HADDOCK","164744","147",552,"NEFSC_discards","EGB",1
"HAKE, WHITE","164732","153",552,"NEFSC_discards","NE",1
"HERRING, ATLANTIC","161722","168",552,"NEFSC_discards","ALL",1
"MACKEREL, ATLANTIC","172414","212",552,"NEFSC_discards","NE",1
"NBR spp (300+)",NA,NA,552,"NEFSC_discards","NE",1
"POLLOCK","164727","269",552,"NEFSC_discards","UNIT",1
"QUAHOG, HARD SHELL CLAM","081496","748",552,"NEFSC_discards","Northern",1
"QUAHOG, OCEAN (BLACK CLAM)","081343","754",552,"NEFSC_discards","Northern",1
"RED CRAB","620992","710",552,"NEFSC_discards","UNIT",1
"REDFISH","166774","240",552,"NEFSC_discards","NE",1
"SCALLOP, SEA","079718","800",552,"NEFSC_discards","GB",1
"SCUP","169182","329",552,"NEFSC_discards","by stat area",1
"WINDOWPANE","172746","125",552,"NEFSC_discards","GBGOM",1
"WINTER FLD","172905","120",552,"NEFSC_discards","GB",1
