SPECIES_ITIS,AREA_NAME,COMMON_NAME,CAMS_GEAR_GROUP,Discard_Mortality_Ratio
172567,MA,BUTTERFISH,50,1
172567,NE,BUTTERFISH,50,1
172567,S_700s,BUTTERFISH,50,1
172567,MA,BUTTERFISH,52,1
172567,NE,BUTTERFISH,52,1
172567,S_700s,BUTTERFISH,52,1
172567,MA,BUTTERFISH,54,1
172567,NE,BUTTERFISH,54,1
172567,S_700s,BUTTERFISH,54,1
172567,MA,BUTTERFISH,57,1
172567,NE,BUTTERFISH,57,1
172567,S_700s,BUTTERFISH,57,1
172567,MA,BUTTERFISH,58,1
172567,NE,BUTTERFISH,58,1
172567,S_700s,BUTTERFISH,58,1
172567,MA,BUTTERFISH,70,1
172567,NE,BUTTERFISH,70,1
172567,S_700s,BUTTERFISH,70,1
172567,MA,BUTTERFISH,100,1
172567,NE,BUTTERFISH,100,1
172567,S_700s,BUTTERFISH,100,1
172567,MA,BUTTERFISH,132,1
172567,NE,BUTTERFISH,132,1
172567,S_700s,BUTTERFISH,132,1
172567,MA,BUTTERFISH,170,1
172567,NE,BUTTERFISH,170,1
172567,S_700s,BUTTERFISH,170,1
172413,MA,CHUB MACKEREL,10,1
172413,NE,CHUB MACKEREL,10,1
172413,MA,CHUB MACKEREL,20,1
172413,NE,CHUB MACKEREL,20,1
172413,MA,CHUB MACKEREL,50,1
172413,NE,CHUB MACKEREL,50,1
172413,MA,CHUB MACKEREL,52,1
172413,NE,CHUB MACKEREL,52,1
172413,MA,CHUB MACKEREL,53,1
172413,NE,CHUB MACKEREL,53,1
172413,MA,CHUB MACKEREL,54,1
172413,NE,CHUB MACKEREL,54,1
172413,MA,CHUB MACKEREL,57,1
172413,NE,CHUB MACKEREL,57,1
172413,MA,CHUB MACKEREL,58,1
172413,NE,CHUB MACKEREL,58,1
172413,MA,CHUB MACKEREL,59,1
172413,NE,CHUB MACKEREL,59,1
172413,MA,CHUB MACKEREL,80,1
172413,NE,CHUB MACKEREL,80,1
172413,MA,CHUB MACKEREL,100,1
172413,NE,CHUB MACKEREL,100,1
172413,MA,CHUB MACKEREL,121,1
172413,NE,CHUB MACKEREL,121,1
172413,MA,CHUB MACKEREL,132,1
172413,NE,CHUB MACKEREL,132,1
172413,MA,CHUB MACKEREL,160,1
172413,NE,CHUB MACKEREL,160,1
172413,MA,CHUB MACKEREL,170,1
172413,NE,CHUB MACKEREL,170,1
172413,MA,CHUB MACKEREL,180,1
172413,NE,CHUB MACKEREL,180,1
172413,MA,CHUB MACKEREL,181,1
172413,NE,CHUB MACKEREL,181,1
172413,MA,CHUB MACKEREL,183,1
172413,NE,CHUB MACKEREL,183,1
172413,MA,CHUB MACKEREL,200,1
172413,NE,CHUB MACKEREL,200,1
172413,MA,CHUB MACKEREL,300,1
172413,NE,CHUB MACKEREL,300,1
172413,MA,CHUB MACKEREL,350,1
172413,NE,CHUB MACKEREL,350,1
172413,MA,CHUB MACKEREL,381,1
172413,NE,CHUB MACKEREL,381,1
172413,MA,CHUB MACKEREL,387,1
172413,NE,CHUB MACKEREL,387,1
172413,MA,CHUB MACKEREL,400,1
172413,NE,CHUB MACKEREL,400,1
80944,MA,"CLAM, SURF",50,1
80944,NE,"CLAM, SURF",50,1
80944,S_700s,"CLAM, SURF",50,1
80944,MA,"CLAM, SURF",52,1
80944,NE,"CLAM, SURF",52,1
80944,S_700s,"CLAM, SURF",52,1
80944,MA,"CLAM, SURF",132,1
80944,NE,"CLAM, SURF",132,1
80944,S_700s,"CLAM, SURF",132,1
80944,MA,"CLAM, SURF",386,1
80944,NE,"CLAM, SURF",386,1
80944,S_700s,"CLAM, SURF",386,1
80944,MA,"CLAM, SURF",400,1
80944,NE,"CLAM, SURF",400,1
80944,S_700s,"CLAM, SURF",400,1
164712,EGB,COD,10,0.33
164712,GOM,COD,10,0.33
164712,MA,COD,10,0.33
164712,SNE,COD,10,0.33
164712,WGB,COD,10,0.33
164712,EGB,COD,20,0.2
164712,GOM,COD,20,0.2
164712,MA,COD,20,0.2
164712,SNE,COD,20,0.2
164712,WGB,COD,20,0.2
164712,EGB,COD,50,0.75
164712,GOM,COD,50,0.75
164712,MA,COD,50,0.75
164712,SNE,COD,50,0.75
164712,WGB,COD,50,0.75
164712,EGB,COD,58,0.75
164712,GOM,COD,58,0.75
164712,MA,COD,58,0.75
164712,SNE,COD,58,0.75
164712,WGB,COD,58,0.75
164712,EGB,COD,100,0.8
164712,GOM,COD,100,0.8
164712,MA,COD,100,0.8
164712,SNE,COD,100,0.8
164712,WGB,COD,100,0.8
164712,EGB,COD,132,1
164712,GOM,COD,132,1
164712,MA,COD,132,1
164712,SNE,COD,132,1
164712,WGB,COD,132,1
164712,EGB,COD,200,1
164712,GOM,COD,200,1
164712,MA,COD,200,1
164712,SNE,COD,200,1
164712,WGB,COD,200,1
160617,MA,"DOGFISH, SPINY",10,0.1
160617,NE,"DOGFISH, SPINY",10,0.3
160617,MA,"DOGFISH, SPINY",50,0.1
160617,NE,"DOGFISH, SPINY",50,0.5
160617,MA,"DOGFISH, SPINY",58,0.5
160617,NE,"DOGFISH, SPINY",58,0.5
160617,MA,"DOGFISH, SPINY",100,0.75
160617,NE,"DOGFISH, SPINY",100,0.3
160617,MA,"DOGFISH, SPINY",132,0.5
160617,NE,"DOGFISH, SPINY",132,0.75
172735,MA,FLUKE,10,0.8
172735,NE,FLUKE,10,0.8
172735,S_700s,FLUKE,10,0.8
172735,MA,FLUKE,20,0.8
172735,NE,FLUKE,20,0.8
172735,S_700s,FLUKE,20,0.8
172735,MA,FLUKE,50,0.8
172735,NE,FLUKE,50,0.8
172735,S_700s,FLUKE,50,0.8
172735,MA,FLUKE,100,0.8
172735,NE,FLUKE,100,0.8
172735,S_700s,FLUKE,100,0.8
172735,MA,FLUKE,132,0.8
172735,NE,FLUKE,132,0.8
172735,S_700s,FLUKE,132,0.8
172735,MA,FLUKE,180,0.8
172735,NE,FLUKE,180,0.8
172735,S_700s,FLUKE,180,0.8
164744,EGB,HADDOCK,10,1
164744,GOM,HADDOCK,10,1
164744,MA,HADDOCK,10,1
164744,WGB and South,HADDOCK,10,1
164744,EGB,HADDOCK,50,1
164744,GOM,HADDOCK,50,1
164744,MA,HADDOCK,50,1
164744,WGB and South,HADDOCK,50,1
164744,EGB,HADDOCK,57,1
164744,GOM,HADDOCK,57,1
164744,MA,HADDOCK,57,1
164744,WGB and South,HADDOCK,57,1
164744,EGB,HADDOCK,58,1
164744,GOM,HADDOCK,58,1
164744,MA,HADDOCK,58,1
164744,WGB and South,HADDOCK,58,1
164744,EGB,HADDOCK,100,1
164744,GOM,HADDOCK,100,1
164744,MA,HADDOCK,100,1
164744,WGB and South,HADDOCK,100,1
164744,EGB,HADDOCK,132,1
164744,GOM,HADDOCK,132,1
164744,MA,HADDOCK,132,1
164744,WGB and South,HADDOCK,132,1
164744,EGB,HADDOCK,170,1
164744,GOM,HADDOCK,170,1
164744,MA,HADDOCK,170,1
164744,WGB and South,HADDOCK,170,1
164744,EGB,HADDOCK,200,1
164744,GOM,HADDOCK,200,1
164744,MA,HADDOCK,200,1
164744,WGB and South,HADDOCK,200,1
164732,MA,"HAKE, WHITE",10,1
164732,NE,"HAKE, WHITE",10,1
164732,MA,"HAKE, WHITE",50,1
164732,NE,"HAKE, WHITE",50,1
164732,MA,"HAKE, WHITE",58,1
164732,NE,"HAKE, WHITE",58,1
164732,MA,"HAKE, WHITE",100,1
164732,NE,"HAKE, WHITE",100,1
164732,MA,"HAKE, WHITE",132,1
164732,NE,"HAKE, WHITE",132,1
172933,MA,HALIBUT,10,0.1
172933,NE,HALIBUT,10,0.1
172933,MA,HALIBUT,20,0.1
172933,NE,HALIBUT,20,0.1
172933,MA,HALIBUT,50,0.76
172933,NE,HALIBUT,50,0.76
172933,MA,HALIBUT,100,0.3
172933,NE,HALIBUT,100,0.3
161722,MA,"HERRING, ATLANTIC",50,1
161722,NE,"HERRING, ATLANTIC",50,1
161722,MA,"HERRING, ATLANTIC",120,1
161722,NE,"HERRING, ATLANTIC",120,1
161722,MA,"HERRING, ATLANTIC",170,1
161722,NE,"HERRING, ATLANTIC",170,1
172414,MA,"MACKEREL, ATLANTIC",20,1
172414,NE,"MACKEREL, ATLANTIC",20,1
172414,S_700s,"MACKEREL, ATLANTIC",20,1
172414,MA,"MACKEREL, ATLANTIC",50,1
172414,NE,"MACKEREL, ATLANTIC",50,1
172414,S_700s,"MACKEREL, ATLANTIC",50,1
172414,MA,"MACKEREL, ATLANTIC",58,1
172414,NE,"MACKEREL, ATLANTIC",58,1
172414,S_700s,"MACKEREL, ATLANTIC",58,1
172414,MA,"MACKEREL, ATLANTIC",70,1
172414,NE,"MACKEREL, ATLANTIC",70,1
172414,S_700s,"MACKEREL, ATLANTIC",70,1
172414,MA,"MACKEREL, ATLANTIC",100,1
172414,NE,"MACKEREL, ATLANTIC",100,1
172414,S_700s,"MACKEREL, ATLANTIC",100,1
172414,MA,"MACKEREL, ATLANTIC",121,1
172414,NE,"MACKEREL, ATLANTIC",121,1
172414,S_700s,"MACKEREL, ATLANTIC",121,1
172414,MA,"MACKEREL, ATLANTIC",132,1
172414,NE,"MACKEREL, ATLANTIC",132,1
172414,S_700s,"MACKEREL, ATLANTIC",132,1
172414,MA,"MACKEREL, ATLANTIC",160,1
172414,NE,"MACKEREL, ATLANTIC",160,1
172414,S_700s,"MACKEREL, ATLANTIC",160,1
172414,MA,"MACKEREL, ATLANTIC",180,1
172414,NE,"MACKEREL, ATLANTIC",180,1
172414,S_700s,"MACKEREL, ATLANTIC",180,1
172414,MA,"MACKEREL, ATLANTIC",400,1
172414,NE,"MACKEREL, ATLANTIC",400,1
172414,S_700s,"MACKEREL, ATLANTIC",400,1
164499,NORTHERN,MONKFISH,50,1
164499,SOUTHERN,MONKFISH,50,1
164499,NORTHERN,MONKFISH,58,1
164499,SOUTHERN,MONKFISH,58,1
164499,NORTHERN,MONKFISH,100,1
164499,SOUTHERN,MONKFISH,100,1
