Species,Method,Source,Year,Discards,kall
Red hake,CAMS,State,2019,19255,342664727
Red hake,CAMS,Federal,2019,3367855,1450915806
White hake,CAMS,State,2019,1786,342664727
White hake,CAMS,Federal,2019,77952,1450915806
Silver hake,CAMS,State,2019,631,342664727
Silver hake,CAMS,Federal,2019,3972202,1450915806
Offshore hake,CAMS,State,2019,398,342664727
Offshore hake,CAMS,Federal,2019,12653,1450915806
